Object Name,Text - Description,,,,,,,,,,,,,,,,,,,,
/ACCGO/TRU,True-Up Report,,,,,,,,,,,,,,,,,,,,
/ACCGO/UI,Common UI Node Access,,,,,,,,,,,,,,,,,,,,
/ACCGO/UIC,Set Up Load Data Capture,,,,,,,,,,,,,,,,,,,,
/ACCGO/UIS,Load Data Capture,,,,,,,,,,,,,,,,,,,,
/ACCGO/UTL,ACM: Utiliity Programs Authorization,,,,,,,,,,,,,,,,,,,,
/ACCGO/VAL,Value Schedule,,,,,,,,,,,,,,,,,,,,
/ACCGO/VOL,Volume Schedule,,,,,,,,,,,,,,,,,,,,
/ACCGO/WHR,Authorization object for 'Warehouse Receipt',,,,,,,,,,,,,,,,,,,,
/AIF/CDLOG,AIF Error Handling Change Log,,,,,,,,,,,,,,,,,,,,
/AIF/CFUNC,AIF Custom Functions,,,,,,,,,,,,,,,,,,,,
/AIF/CLINK,AIF Custom Data Link,,,,,,,,,,,,,,,,,,,,
/AIF/CONT,AIF Content Delivery,,,,,,,,,,,,,,,,,,,,
/AIF/CPI,AIF Error Propagation Integration,,,,,,,,,,,,,,,,,,,,
/AIF/CTEXT,AIF Custom Message Text,,,,,,,,,,,,,,,,,,,,
/AIF/CUST,AIF Customizing,,,,,,,,,,,,,,,,,,,,
/AIF/DEL,AIF Message Deletion,,,,,,,,,,,,,,,,,,,,
/AIF/DPA,AIF Details and Processors Assignment,,,,,,,,,,,,,,,,,,,,
/AIF/EMC,AIF Error Handling Emergency Correction,,,,,,,,,,,,,,,,,,,,
/AIF/ERR,AIF Error Handling Per Interface,,,,,,,,,,,,,,,,,,,,
/AIF/EXT_C,AIF External Contact,,,,,,,,,,,,,,,,,,,,
/AIF/FRUN,AIF Remote Monitoring,,,,,,,,,,,,,,,,,,,,
/AIF/HINTS,AIF Custom Hints,,,,,,,,,,,,,,,,,,,,
/AIF/IFDET,AIF Interface Determination,,,,,,,,,,,,,,,,,,,,
/AIF/IFTES,Access to AIF test tool,,,,,,,,,,,,,,,,,,,,
/AIF/LFA,AIF File Adapter Application Server Directory,,,,,,,,,,,,,,,,,,,,
/AIF/PERSD,AIF Message Deletion,,,,,,,,,,,,,,,,,,,,
/AIF/PROC,AIF Interface Processing,,,,,,,,,,,,,,,,,,,,
/AIF/RAL,AIF Read Access Log,,,,,,,,,,,,,,,,,,,,
