Client,ROLE,MASTER_ROLE,DESC
900,ZSG_SD_SO.APPCL_206,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (VISV/1803)
900,ZSG_SD_SO.APPCL_208,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (LEAC/1801)
900,ZSG_SD_SO.APPCL_209,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (LERM/1811)
900,ZSG_SD_SO.APPCL_210,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (LEHE/1801)
900,ZSG_SD_SO.APPCL_213,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (PVSM/1802)
900,ZSG_SD_SO.APPCL_214,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (PVPS/1802)
900,ZSG_SD_SO.APPCL_215,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (JTSM/1802)
900,ZSG_SD_SO.APPCL_218,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (Industrial Automation Sales/1806)
900,ZSG_SD_SO.APPCL_219,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (Industrial Automation Solution/1806)
900,ZSG_SD_SO.APPCL_220,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (LVS/1807)
900,ZSG_SD_SO.APPCL_221,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (CNC Sales & Marketing/1805)
900,ZSG_SD_SO.APPCL_222,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (CNC Service/1805)
900,ZSG_SD_SO.APPCL_223,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (EDM Sales/1809)
900,ZSG_SD_SO.APPCL_224,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (EDM Service/1809)
900,ZSG_SD_SO.APPCL_225,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (FA Service Centre/1804)
900,ZSG_SD_SO.APPCL_229,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (TS/1813)
900,ZSG_SD_SO.APPCL_232,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (LEVI/1803)
900,ZSG_SD_SO.APPCL_ADMIN,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (A&F)
900,ZSG_SD_SO.APPCL_XXX,,MEAP Sales Order Credit Limit Approver
900,ZSG_SD_SO.APPSB_202,ZSG_SD_SO.APPSB_XXX,MEAP Sales Order Block Approver (APC/1810)
900,ZSG_SD_SO.APPSB_203,ZSG_SD_SO.APPSB_XXX,MEAP Sales Order Block Approver (Power Semicon/1808)
900,ZSG_SD_SO.APPSB_205,ZSG_SD_SO.APPSB_XXX,MEAP Sales Order Block Approver (VISM/1803)
900,ZSG_SD_SO.APPSB_206,ZSG_SD_SO.APPSB_XXX,MEAP Sales Order Block Approver (VISV/1803)
900,ZSG_SD_SO.APPSB_208,ZSG_SD_SO.APPSB_XXX,MEAP Sales Order Block Approver (LEAC/1801)
900,ZSG_SD_SO.APPSB_209,ZSG_SD_SO.APPSB_XXX,MEAP Sales Order Block Approver (LERM/1811)
900,ZSG_SD_SO.APPSB_210,ZSG_SD_SO.APPSB_XXX,MEAP Sales Order Block Approver (LEHE/1801)
900,ZSG_SD_SO.APPSB_213,ZSG_SD_SO.APPSB_XXX,MEAP Sales Order Block Approver (PVSM/1802)
900,ZSG_SD_SO.APPSB_214,ZSG_SD_SO.APPSB_XXX,MEAP Sales Order Block Approver (PVPS/1802)
900,ZSG_SD_SO.APPSB_215,ZSG_SD_SO.APPSB_XXX,MEAP Sales Order Block Approver (JTSM/1802)
900,ZSG_SD_SO.APPSB_218,ZSG_SD_SO.APPSB_XXX,MEAP Sales Order Block Approver (Industrial Automation Sales/1806)
900,ZSG_SD_SO.APPSB_219,ZSG_SD_SO.APPSB_XXX,MEAP Sales Order Block Approver (Industrial Automation Solution/1806)
