MANDT,AGR_NAME,UNAME,FROM_DAT,TO_DAT,EXCLUDE,CHANGE_DAT,CHANGE_TIM,CHANGE_TST,ORG_FLAG,COL_FLAG
901,ZSG_AL_LO.PRO_YUSEN_833,YUSENTASCO01,27/5/2024,31/12/9999,,27/5/2024,3:52:02 PM,0/1/1900 0:00,,
901,ZSG_AL_LO.PRO_YUSEN_833,YUSENTASCO02,27/5/2024,31/12/9999,,27/5/2024,3:51:21 PM,0/1/1900 0:00,,
901,ZSG_AL_LO.PRO_YUSEN_835,YUSENTASCO01,4/3/2024,31/12/9999,,4/3/2024,2:07:07 PM,0/1/1900 0:00,,
901,ZSG_AL_LO.PRO_YUSEN_835,YUSENTASCO01,27/5/2024,31/12/9999,,27/5/2024,3:52:02 PM,0/1/1900 0:00,,
901,ZSG_AL_LO.PRO_YUSEN_835,YUSENTASCO02,27/5/2024,31/12/9999,,27/5/2024,3:51:21 PM,0/1/1900 0:00,,
901,ZSG_AL_LO.PRO_YUSEN_872,YUSENTASCO01,4/3/2024,31/12/9999,,4/3/2024,2:07:07 PM,0/1/1900 0:00,,
901,ZSG_AL_LO.PRO_YUSEN_872,YUSENTASCO01,27/5/2024,31/12/9999,,27/5/2024,3:52:02 PM,0/1/1900 0:00,,
901,ZSG_AL_LO.PRO_YUSEN_872,YUSENTASCO02,27/5/2024,31/12/9999,,27/5/2024,3:51:21 PM,0/1/1900 0:00,,
901,ZSG_AL_LO.PRO_YUSEN_873,YUSENTASCO01,27/5/2024,31/12/9999,,27/5/2024,3:52:02 PM,0/1/1900 0:00,,
901,ZSG_AL_LO.PRO_YUSEN_873,YUSENTASCO02,27/5/2024,31/12/9999,,27/5/2024,3:51:21 PM,0/1/1900 0:00,,
901,ZSG_AL_LO.PRO_YUSEN_SU53,YUSENTASCO01,27/5/2024,31/12/9999,,27/5/2024,3:52:02 PM,0/1/1900 0:00,,
901,ZSG_AL_LO.PRO_YUSEN_SU53,YUSENTASCO02,27/5/2024,31/12/9999,,27/5/2024,3:51:21 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,ALEXLIEW,4/3/2024,31/12/9999,,4/3/2024,11:15:40 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,ALPS01,4/3/2024,31/12/9999,,4/3/2024,11:16:02 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,ALPS01_C,4/3/2024,31/12/9999,,20/5/2024,3:48:05 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,ANDREWSHEN,4/3/2024,31/12/9999,,4/3/2024,11:16:50 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,ANDREWYEONG,3/6/2024,31/12/9999,,3/6/2024,11:48:50 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,ANGELINEKONG,4/3/2024,31/12/9999,,4/3/2024,11:17:42 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,ANGELOOI,4/3/2024,31/12/9999,,4/3/2024,11:18:00 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,ANGELOOI_C,4/3/2024,31/12/9999,,15/5/2024,6:32:24 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,ANRINEKEE,4/3/2024,31/12/9999,,4/3/2024,11:18:30 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,ANTHONYFUNG,4/3/2024,31/12/9999,,4/3/2024,11:18:54 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,AYTAN,4/3/2024,31/12/9999,,4/3/2024,11:19:09 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,BATCH_LOGIST,4/3/2024,31/12/9999,,4/3/2024,11:19:37 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,BBUGARIN,4/3/2024,31/12/9999,,4/3/2024,11:19:55 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,BJTAN,4/3/2024,31/12/9999,,4/3/2024,11:20:18 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,BOSENHUANG,4/3/2024,31/12/9999,,4/3/2024,11:20:36 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,BOSENHUANG_C,4/3/2024,31/12/9999,,17/5/2024,6:46:34 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,BPENSIE,4/3/2024,31/12/9999,,4/3/2024,11:21:09 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,BPENSIE_C,4/3/2024,31/12/9999,,27/5/2024,3:07:54 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,BTCHUA,4/3/2024,31/12/9999,,4/3/2024,11:25:01 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,BTTEO,4/3/2024,31/12/9999,,4/3/2024,11:25:20 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,CCTAY,4/3/2024,31/12/9999,,4/3/2024,11:25:41 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,CECILIANG,4/3/2024,31/12/9999,,4/3/2024,11:25:58 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,CFTEOH,4/3/2024,31/12/9999,,4/3/2024,11:26:21 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,CFTEOH,25/4/2024,31/12/9999,,25/4/2024,4:51:06 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,CFTEOH_C,4/3/2024,31/12/9999,,30/5/2024,10:05:46 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,CFTEOH_C,25/4/2024,31/12/9999,,30/5/2024,10:05:46 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,CHOOCY,4/3/2024,31/12/9999,,4/3/2024,11:26:39 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,CHTAY,4/3/2024,31/12/9999,,4/3/2024,11:27:04 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,CHTAY_C,4/3/2024,31/12/9999,,29/5/2024,6:30:59 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,CLARALIM,4/3/2024,31/12/9999,,4/3/2024,11:27:23 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,CLARATANYY,4/3/2024,31/12/9999,,4/3/2024,11:27:44 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,CLEE,4/3/2024,31/12/9999,,4/3/2024,11:28:11 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,CLIFFORDCHUA,4/3/2024,31/12/9999,,4/3/2024,11:28:35 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,CMVOO,4/3/2024,31/12/9999,,4/3/2024,11:28:55 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,CTCHEW,4/3/2024,31/12/9999,,4/3/2024,11:29:10 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,CWCHIAM,4/3/2024,31/12/9999,,4/3/2024,11:29:29 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,CYNDILIM,4/3/2024,31/12/9999,,4/3/2024,11:29:46 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,CYTAN,4/3/2024,31/12/9999,,4/3/2024,11:30:08 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,CYTAN_C,4/3/2024,31/12/9999,,12/5/2024,10:20:50 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,DAMIENYUEN,4/3/2024,31/12/9999,,4/3/2024,11:30:27 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,DANIELLEE,4/3/2024,31/12/9999,,4/3/2024,11:30:45 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,DAVEHENG,4/3/2024,31/12/9999,,4/3/2024,11:31:05 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,DENISEHONG,4/3/2024,31/12/9999,,2/5/2024,2:23:53 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,DENISTAN,4/3/2024,31/12/9999,,4/3/2024,11:31:27 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,DEONLIEW,4/3/2024,31/12/9999,,4/3/2024,11:31:49 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,DEREKLEE,4/3/2024,31/12/9999,,4/3/2024,11:32:06 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,DIANNACHER,4/3/2024,31/12/9999,,4/3/2024,11:32:28 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,EEGOH,4/3/2024,31/12/9999,,4/3/2024,11:32:49 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,ELAINEONG,4/3/2024,31/12/9999,,4/3/2024,11:33:12 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,ELVINKOH,4/3/2024,31/12/9999,,4/3/2024,11:33:31 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,ELVINKOH_YT,4/3/2024,31/12/9999,,17/5/2024,12:41:30 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,EMMALI,4/3/2024,31/12/9999,,4/3/2024,11:33:46 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,EVELYNTAN,4/3/2024,31/12/9999,,4/3/2024,11:34:08 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,EVELYNWOON,4/3/2024,31/12/9999,,4/3/2024,11:34:25 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,EVELYNWOON_C,14/5/2024,31/12/9999,,14/5/2024,3:05:57 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,FF_FIN_1,23/5/2024,31/12/9999,,23/5/2024,7:48:36 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,FF_FIN_2,23/5/2024,31/12/9999,,23/5/2024,7:48:36 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,FF_LOG_1,23/5/2024,31/12/9999,,23/5/2024,7:52:56 PM,0/1/1900 0:00,,
