Client,ROLE,MASTER_ROLE,DESC
800,ZSG_SD_DO.PRO_XXX,,MEAP Delivery Order Processor
800,ZSG_SD_DOA.ADMIN_XXX,,MEAP Sales Order Block Approver
800,ZSG_SD_LA.PRO_611,ZSG_SD_LA.PRO_XXX,MEAP License Data Processor(AMMD/1890)
800,ZSG_SD_LA.PRO_713,ZSG_SD_LA.PRO_XXX,MEAP License Data Processor(AMLC/1891)
800,ZSG_SD_LA.PRO_812,ZSG_SD_LA.PRO_XXX,MEAP License Data Processor(LEAC/1801)
800,ZSG_SD_LA.PRO_813,ZSG_SD_LA.PRO_XXX,MEAP License Data Processor(LERM/1801)
800,ZSG_SD_LA.PRO_815,ZSG_SD_LA.PRO_XXX,MEAP License Data Processor(LEHE/1801)
800,ZSG_SD_LA.PRO_833,ZSG_SD_LA.PRO_XXX,MEAP License Data Processor(FAIS/1820)
800,ZSG_SD_LA.PRO_835,ZSG_SD_LA.PRO_XXX,MEAP License Data Processor(FASS/1820)
800,ZSG_SD_LA.PRO_836,ZSG_SD_LA.PRO_XXX,MEAP License Data Processor(FACS/1820)
800,ZSG_SD_LA.PRO_837,ZSG_SD_LA.PRO_XXX,MEAP License Data Processor(FACS/1820)
800,ZSG_SD_LA.PRO_838,ZSG_SD_LA.PRO_XXX,MEAP License Data Processor(FASV/1820)
800,ZSG_SD_LA.PRO_851,ZSG_SD_LA.PRO_XXX,MEAP License Data Processor(APCR/1810)
800,ZSG_SD_LA.PRO_861,ZSG_SD_LA.PRO_XXX,MEAP License Data Processor(SEMI/1808)
800,ZSG_SD_LA.PRO_872,ZSG_SD_LA.PRO_XXX,MEAP License Data Processor(PUPS/1811)
800,ZSG_SD_LA.PRO_XXX,,MEAP License Data Processor
800,ZSG_SD_LC.PRO_812,ZSG_SD_LC.PRO_XXX,MEAP License Processor(LEAC/1801)
800,ZSG_SD_LC.PRO_813,ZSG_SD_LC.PRO_XXX,MEAP License Processor(LERM/1801)
800,ZSG_SD_LC.PRO_815,ZSG_SD_LC.PRO_XXX,MEAP License Processor(LEHE/1801)
800,ZSG_SD_LC.PRO_833,ZSG_SD_LC.PRO_XXX,MEAP License Processor(FAIS/1820)
800,ZSG_SD_LC.PRO_835,ZSG_SD_LC.PRO_XXX,MEAP License Processor(FASS/1820)
800,ZSG_SD_LC.PRO_836,ZSG_SD_LC.PRO_XXX,MEAP License Processor(FACS/1820)
800,ZSG_SD_LC.PRO_837,ZSG_SD_LC.PRO_XXX,MEAP License Processor(FACS/1820)
800,ZSG_SD_LC.PRO_838,ZSG_SD_LC.PRO_XXX,MEAP License Processor(FASV/1820)
800,ZSG_SD_LC.PRO_851,ZSG_SD_LC.PRO_XXX,MEAP License Processor(APCR/1810)
800,ZSG_SD_LC.PRO_861,ZSG_SD_LC.PRO_XXX,MEAP License Processor(SEMI/1808)
800,ZSG_SD_LC.PRO_872,ZSG_SD_LC.PRO_XXX,MEAP License Processor(PUPS/1802/1811)
800,ZSG_SD_LC.PRO_XXX,,MEAP License Processor
800,ZSG_SD_ODATA,,ROLE FOR SD ODATA SERVICES
800,ZSG_SD_QT.APPQB_XXX,,MEAP Quotation Approver
800,ZSG_SD_QT.PRO_812,ZSG_SD_QT.PRO_XXX,MEAP Quotation Processor (LEAC/1801)
800,ZSG_SD_QT.PRO_813,ZSG_SD_QT.PRO_XXX,MEAP Quotation Processor (LERM/1801)
800,ZSG_SD_QT.PRO_815,ZSG_SD_QT.PRO_XXX,MEAP Quotation Processor (LEHE/1801)
800,ZSG_SD_QT.PRO_833,ZSG_SD_QT.PRO_XXX,MEAP Quotation Processor (FAIS/1820)
800,ZSG_SD_QT.PRO_835,ZSG_SD_QT.PRO_XXX,MEAP Quotation Processor (FASS/1820)
800,ZSG_SD_QT.PRO_836,ZSG_SD_QT.PRO_XXX,MEAP Quotation Processor (FACS/1820)
800,ZSG_SD_QT.PRO_837,ZSG_SD_QT.PRO_XXX,MEAP Quotation Processor (FACS/1820)
800,ZSG_SD_QT.PRO_838,ZSG_SD_QT.PRO_XXX,MEAP Quotation Processor (FASV/1820)
800,ZSG_SD_QT.PRO_851,ZSG_SD_QT.PRO_XXX,MEAP Quotation Processor (APCR/1810)
800,ZSG_SD_QT.PRO_861,ZSG_SD_QT.PRO_XXX,MEAP Quotation Processor (SEMI/1808)
800,ZSG_SD_QT.PRO_872,ZSG_SD_QT.PRO_XXX,MEAP Quotation Processor (PUPS/1811)
800,ZSG_SD_QT.PRO_ADMIN,ZSG_SD_QT.PRO_XXX,MEAP Quotation Processor for A&F
800,ZSG_SD_QT.PRO_ADMIN_XXX,ZSG_SD_QT.PRO_XXX,MEAP Quotation Processor for A&F
800,ZSG_SD_QT.PRO_XXX,,MEAP Quotation Processor
800,ZSG_SD_REB.PRO,,"MEAP Rebate Processeor(FAXX/1821,22,23,24)"
800,ZSG_SD_REB.PRO_811,ZSG_SD_REB.PRO_XXX,"MEAP Rebate Processeor(FAXX/1821,22,23,24) (LEPO/1801)"
800,ZSG_SD_REB.PRO_812,ZSG_SD_REB.PRO_XXX,"MEAP Rebate Processeor(FAXX/1821,22,23,24) (LEAC/1801)"
