ECC_ROLE,MASTER_ROLE,S4_DERIVED_ROLE
ZSG_FI_GL.CHG,ZSG_FI_GL.CHG,ZSG_FI_GL.CHG
ZSG_FI_GL.PRO,ZSG_FI_GL.PRO,ZSG_FI_GL.PRO
ZSG_FI_GL.SDSP_XXX,ZSG_FI_GL.SDSP_XXX,ZSG_FI_GL.SDSP_XXX
ZSG_MM_PO.PRT_XXX,ZSG_MM_PO.PRT_XXX,ZSG_MM_PO.PRT_XXX
ZSG_MM_PR.DSP_XXX,ZSG_MM_PR.DSP_XXX,ZSG_MM_PR.DSP_XXX
ZSG_SD_BL.REQCNC_XXX,ZSG_SD_BL.REQCNC_XXX,ZSG_SD_BL.REQCNC_XXX
ZSG_SD_CMIR.DSP_XXX,ZSG_SD_CMIR.DSP_XXX,ZSG_SD_CMIR.DSP_XXX
ZSG_SD_COND.DSP_XXX,ZSG_SD_COND.DSP_XXX,ZSG_SD_COND.DSP_XXX
ZSG_SD_SO.APPCL_XXX,ZSG_SD_SO.APPCL_XXX,ZSG_SD_SO.APPCL_XXX
ZSG_BS_UT.DSP_208,ZSG_BS_UT.DSP_XXX,ZSG_BS_UT.DSP_812
ZSG_BS_UT.DSP_210,ZSG_BS_UT.DSP_XXX,ZSG_BS_UT.DSP_815
ZSG_BS_UT.DSP_215,ZSG_BS_UT.DSP_XXX,ZSG_BS_UT.DSP_815
ZSG_MM_IM.DSP_208,ZSG_MM_IM.DSP_XXX,ZSG_MM_IM.DSP_812
ZSG_MM_IM.DSP_210,ZSG_MM_IM.DSP_XXX,ZSG_MM_IM.DSP_815
ZSG_MM_IM.DSP_215,ZSG_MM_IM.DSP_XXX,ZSG_MM_IM.DSP_815
ZSG_MM_IM.SDSP_208,ZSG_MM_IM.SDSP_208,ZSG_MM_IM.SDSP_812
ZSG_MM_LO.PRO-TRS_208,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_812
ZSG_MM_LO.PRO-TRS_210,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_815
ZSG_MM_LO.PRO-TRS_215,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_815
ZSG_MM_LO.PRO-TRS_215_FA,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_815_FA
ZSG_MM_LO.PRO-TRS_215_LE,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_815_LE
ZSG_MM_MM.PRO_ADMIN,ZSG_MM_MM.PRO_XXX,ZSG_MM_MM.PRO_ADMIN
ZSG_MM_PI.ENTER_210,ZSG_MM_PI.ENTER_XXX,ZSG_MM_PI.ENTER_815
ZSG_MM_PI.ENTER_215,ZSG_MM_PI.ENTER_XXX,ZSG_MM_PI.ENTER_815
ZSG_MM_PO.DSP_208,ZSG_MM_PO.DSP_XXX,ZSG_MM_PO.DSP_812
ZSG_MM_PO.DSP_210,ZSG_MM_PO.DSP_XXX,ZSG_MM_PO.DSP_815
ZSG_MM_PO.DSP_215,ZSG_MM_PO.DSP_XXX,ZSG_MM_PO.DSP_815
ZSG_MM_PO.PRT_208,ZSG_MM_PO.PRT_XXX,ZSG_MM_PO.PRT_812
ZSG_MM_PO.PRT_210,ZSG_MM_PO.PRT_XXX,ZSG_MM_PO.PRT_815
ZSG_SD_BL.DSP_208,ZSG_SD_BL.DSP_XXX,ZSG_SD_BL.DSP_812
ZSG_SD_BL.DSP_210,ZSG_SD_BL.DSP_XXX,ZSG_SD_BL.DSP_815
ZSG_SD_BL.DSP_215,ZSG_SD_BL.DSP_XXX,ZSG_SD_BL.DSP_815
ZSG_SD_BL.PRO_208,ZSG_SD_BL.PRO_XXX,ZSG_SD_BL.PRO_812
ZSG_SD_BL.PRO_210,ZSG_SD_BL.PRO_XXX,ZSG_SD_BL.PRO_815
ZSG_SD_BL.PRO_215,ZSG_SD_BL.PRO_XXX,ZSG_SD_BL.PRO_815
ZSG_SD_BL.PRO_INTER,ZSG_SD_BL.PRO_XXX,ZSG_SD_BL.PRO_INTER
ZSG_SD_BL.REQCNC_208,ZSG_SD_BL.REQCNC_XXX,ZSG_SD_BL.REQCNC_812
